no,id_document,tahun_terbit,nama_jurnal,judul_artikel,nama_penulis,kata_kunci,abstrak
1,doc1,2025,"ZERO: Jurnal Sains, Matermatika, dan Terapan ","Drivers and Impacts of Agricultural Land Conversion: Regression Modelling with Spatial Dependence in West Bandung and Purwakarta Regencies, Indonesia","Arie Wahyu Wijayanto, Rindang Bangun Prasetyo, Salwa Rizqina Putri, Sugiarto Sugiarto, Waris Marsisno, Krismanti Tri Wahyuni, Ernawati Pasaribu, Meilinda F N Maghfiroh",Agricultural Land; Land Conversion; Land-owning Farmers; Spatial Lag Model,"The rapid conversion of farmland to non-agricultural uses in West Java threatens food security, farmer livelihoods, and environmental sustainability. This study investigates the causes and consequences of land conversion in West Bandung and Purwakarta Regencies using a mixed-source data, including geotagging, CAPI, and secondary data from satellite images, focusing on landowners who converted farmland between 2013 and 2021. Multiple linear regression and spatial models, including Spatial Lag Model (SLM), were applied to assess key determinants. The results revealed economic pressures as the main driver, with rice fields most affected and various geographic and infrastructure factors influencing outcomes. The findings underscore the need for targeted policies to balance development with sustainable land and food system management."
2,doc2,2025,"ZERO: Jurnal Sains, Matermatika, dan Terapan ",Feature Selection Analysis for Diagnosing Narcissistic Personality Disorder (NPD) Using Principal Component Analysis and the Naïve Bayes Model,"Sarwadi Sarwadi, Rika Rosnelly, Budi Triandi",Narcissistic Personality Disorder; Principal Component Analysis; Naïve Bayes; Feature Selection; Machine Learning.,"The mental health illness known as narcissistic personality disorder (NPD) affects a person's capacity to preserve harmonious social interactions. Early diagnosis plays a crucial role in providing timely intervention and treatment. This study examines the effectiveness of Principal Component Analysis (PCA) for feature selection in diagnosing NPD using the Naïve Bayes algorithm. The dataset utilized in this research was sourced from Open Psychometrics via Kaggle, followed by preprocessing, including data cleaning and dimensionality reduction through PCA. This study compares the performance of three Naïve Bayes models, Gaussian, Bernoulli, and Multinomial, to identify the most suitable classification approach. The findings reveal that Gaussian Naïve Bayes, when integrated with PCA, achieves the highest accuracy (91%), surpassing Bernoulli Naïve Bayes (80%) and Multinomial Naïve Bayes (69%). Implementing PCA significantly enhances computational efficiency and improves classification performance by eliminating irrelevant features and reducing data dimensionality. These results suggest combining PCA with Gaussian Naïve Bayes is a promising strategy for automating NPD diagnosis. Additionally, this study highlights the potential of machine learning in mental health evaluation and establishes the framework for further studies on hybrid models or other methods to improve prediction accuracy."
3,doc3,2025,"ZERO: Jurnal Sains, Matermatika, dan Terapan ",Zero Inflated Poisson Regression for Analyzing Excess Zeros in Job Transition Data: A Case Study of Tourism Workers in Malang Regency,"Sarni Maniar Berliana, Rafidah Abd Karim, Rita Yuliana, Budyanra Budyanra, Achmad Prasetyo, Arya Candra Kusuma, Priatmadani Priatmadani",Count Data; Excess Zeros; Job Transitions; Tourism Industry; Zero-Inflated; Poisson,"This study examines job transition patterns among 868 tourism workers in Malang, Indonesia, a key tourism hub, using 2023 Fieldwork Training data from Politeknik Statistika STIS. It aims to model transitions while addressing the high number of workers with no job changes using a Zero-Inflated Poisson (ZIP) model, which better captures these patterns than standard models. The ZIP model, including sex, age, relationship to the head of household, education, and foreign language proficiency, shows that proficient workers are more likely to remain in stable roles, while men and younger workers exhibit greater mobility, particularly when leveraging language skills. These findings support Indonesia’s Sertifikasi Kompetensi SDM Pariwisata program by justifying targeted interventions: language training to enhance mobility for non-proficient workers, mentorship for female tour guides to address gender disparities, and digital skills programs for older workers to boost employability. These strategies align with government efforts to strengthen Malang’s tourism workforce resilience."
4,doc4,2025,"ZERO: Jurnal Sains, Matermatika, dan Terapan ","Choosing the Right Tool: Practical Considerations for GLMM and GEE in Longitudinal Studies, with a Focus on Data Challenges","Pardomuan Robinson Sihombing, Erfiani Erfiani, Khairil Anwar Notodiputro, Anang Kurnia","GEE, GLMM, literature; longitudinal; panel","The proposed research systematically reviews the comparative issues between GLMM and GEE for longitudinal data. The review discusses the competing arguments regarding the practical strengths and weaknesses of the two arrests. Empirical evidence demonstrates that GLMM generally provides subject-specific estimates and performs better than GEE in hierarchical and individual variance. In contrast, GEE provides resilient population-level findings, which are crucial for policy. The choice of method depends on the data structure and scope of inference. GLMM is consistently better when characterizing individuals, for example, in studies where we assume random effects are drawn from a complex distribution. GEEs shine most brightly in large datasets, obtaining robust population-level estimates even when the working correlation is misspecified. Finally, the results provide hands-on recommendations for researchers from various domains who apply statistical models to longitudinal studies to select solid, context-fitting statistical models for long-term studies."
5,doc5,2025,"ZERO: Jurnal Sains, Matermatika, dan Terapan ",Optimal Control Application in Mathematical Model of Indonesian Coffee Export Tax,"Nanda Melyana, intan Syahrini, Said Munzir","demand, export, export; optimal control; production tax","Coffee is one of Indonesia's largest non-oil and gas export commodities in the agricultural sector, significantly contributing to the country's export volume each year. Major export destinations include the United States, Egypt, Japan, Spain, and Malaysia. Approximately 67% of Indonesia's coffee production is exported, while the remaining 33% serves domestic demand. To optimize the economic values related to production, demand, export volume, and export tax revenue, a dynamic model was developed, followed by two simulations: one where the government controls with set economic targets and another without target controls on export tax. The model formulation involved estimating equations using the Two-Stage Least Squares (TSLS) method, which served as constraints within the optimal control model. The objective of the discrete dynamic optimal control function is to minimize a quadratic objective function that represents deviations from target values and optimal control levels. Simulations conducted with varying weights on both the control function and without governmental intervention showed that changes in the export tax have limited impact on final outcomes, likely due to the high export tax rate applied. It is recommended that, to achieve export tax values closer to desired targets, the government could consider adjusting export tariff policies by reducing the export tax rate, which would also encourage increased export volume. @font-face {font-family:""Cambria Math""; panose-1:2 4 5 3 5 4 6 3 2 4; mso-font-charset:0; mso-generic-font-family:roman; mso-font-pitch:variable; mso-font-signature:-536870145 1107305727 0 0 415 0;}@font-face {font-family:Calibri; panose-1:2 15 5 2 2 2 4 3 2 4; mso-font-charset:0; mso-generic-font-family:swiss; mso-font-pitch:variable; mso-font-signature:-469750017 -1073732485 9 0 511 0;}@font-face {font-family:Cambria; panose-1:2 4 5 3 5 4 6 3 2 4; mso-font-charset:0; mso-generic-font-family:roman; mso-font-pitch:variable; mso-font-signature:-536870145 1073743103 0 0 415 0;}@font-face {font-family:""Baskerville Old Face""; panose-1:2 2 6 2 8 5 5 2 3 3; mso-font-charset:77; mso-generic-font-family:roman; mso-font-pitch:variable; mso-font-signature:3 0 0 0 1 0;}p.MsoNormal, li.MsoNormal, div.MsoNormal {mso-style-unhide:no; mso-style-qformat:yes; mso-style-parent:""""; margin:0cm; mso-pagination:widow-orphan; font-size:10.0pt; font-family:""Times New Roman"",serif; mso-fareast-font-family:""Times New Roman""; mso-ansi-language:EN-US;}p.IOP-CS-Abstract, li.IOP-CS-Abstract, div.IOP-CS-Abstract {mso-style-name:IOP-CS-Abstract; mso-style-unhide:no; mso-style-qformat:yes; mso-style-link:""IOP-CS-Abstract Char""; margin-top:0cm; margin-right:0cm; margin-bottom:18.0pt; margin-left:70.9pt; text-align:justify; line-height:107%; mso-pagination:widow-orphan; font-size:11.0pt; font-family:""Cambria"",serif; mso-fareast-font-family:Calibri; mso-fareast-theme-font:minor-latin; mso-bidi-font-family:""Times New Roman""; mso-bidi-theme-font:minor-bidi; mso-font-kerning:1.0pt; mso-ligatures:standardcontextual; mso-ansi-language:EN-GB;}span.IOP-CS-AbstractChar {mso-style-name:""IOP-CS-Abstract Char""; mso-style-unhide:no; mso-style-locked:yes; mso-style-link:IOP-CS-Abstract; mso-ansi-font-size:11.0pt; mso-bidi-font-size:11.0pt; font-family:""Cambria"",serif; mso-ascii-font-family:Cambria; mso-fareast-font-family:Calibri; mso-fareast-theme-font:minor-latin; mso-hansi-font-family:Cambria; mso-bidi-font-family:""Times New Roman""; mso-bidi-theme-font:minor-bidi; mso-font-kerning:1.0pt; mso-ligatures:standardcontextual; mso-ansi-language:EN-GB;}.MsoChpDefault {mso-style-type:export-only; mso-default-props:yes; font-size:10.0pt; mso-ansi-font-size:10.0pt; mso-bidi-font-size:10.0pt; mso-font-kerning:0pt; mso-ligatures:none; mso-ansi-language:EN-US;}div.WordSection1 {page:WordSection1;}"
6,doc6,2025,"ZERO: Jurnal Sains, Matermatika, dan Terapan ",Evaluating Robust Estimators in Geographically Weighted Regression for Stunting Analysis at the District-Level Across Java: A Focus on Outlier Handling,"Silfiana Lis Setyowati, Muhammad Nur Aidi, Utami Dyah Syafitri, Fitrah Ernawati",Robust Geographically Weighted Regression; M estimator; S estimator; MM estimator; Prevalence of Toddler Stunting; District Level Stunting.,"Rate remains high and lags behind neighboring countries such as Vietnam and Thailand. This slow progress underscores the need for region-specific interventions and a deeper understanding of local factors driving stunting to meet the 14% national target. This study applies RGWR, an improvement over GWR for handling outliers. This method uses M, S, and MM estimators applied to the analysis of the prevalence of stunting among children under five the 2018 Riskesdas data across 85 districts in Java. Immunization reduces disease risk, growth monitoring detects stunting early, ARI management mitigates disease impact, parental height influences stunting risk, and working mothers improve family income and healthcare access, all contributing to reduced stunting. Given the regional variation in impact, stunting reduction policies should be spatially tailored, the MBG program should be prioritized in eastern Java regions."
7,doc7,2025,"ZERO: Jurnal Sains, Matermatika, dan Terapan ",An Applied Computer Mathematics Approach to Transliteration: YOLOv8-Based Detection of Harah Jawoe Script,"Khairan AR, Hendri Ahmadian, Aesha Durratul Nasihah, Abd Mujahid Hamdan",transliteration; harah jawoe; convolutional neural network; yolo v8,"Transliteration of traditional scripts such asHarah Jawoe, a regional variant of Jawi used in Acehnese manuscripts, is essential for preserving and understanding historical texts. While previous studies have focused on isolated character recognition, this research introduces a word-level transliteration approach using the YOLOv8 convolutional neural network (CNN) architecture. A dataset of 9,000 augmented images derived from theHikayat Acehmanuscript was used to train and evaluate four YOLOv8 variants (small, medium, normal, and big). The results show that the big model achieved the most stable and reliable performance, with a peak mAP50–95 of 72.4% and an accuracy of 99.95%. These findings highlight the model’s capability to handle the structural complexity of Harah Jawoe script at the word level. This study offers a novel contribution by integrating object detection techniques with low-resource script transliteration, with implications for AI-driven cultural preservation and the digital accessibility of Southeast Asian manuscript heritage"
8,doc8,2025,"ZERO: Jurnal Sains, Matermatika, dan Terapan ",Influence of World Development Indicators on Human Development: A Multiple Linear Regression and PSI Ranking Approach,"Irvan Irvan, Zahedi Zahedi, Badai Charamsar Nusantara, Krishna Prafidya Romantica, Siswadi Siswadi, Marah Doly Nasution",World Development Indicators (WDI); Human Development Index (HDI); Preference Selection Index (PSI) Ranking; Multiple Linear Regression.,"This study investigates the influence of World Development Indicators (WDI)on the Human Development Index (HDI) within the regional context of Asiancountries. Understanding the interaction between these indicators and HDIholds strategic relevance for enhancing the formulation of evidence-baseddevelopment policies. The analysis focuses on five key indicators: populationgrowth, voice and accountability, government effectiveness, GDP per capitagrowth, and control of corruption. These variables represent essentialdimensions of governance and socioeconomic advancement. The datasetcomprises information from 46 Asian countries sourced from the World Bank.The methodological framework integrates multiple linear regression to evaluatethe magnitude of each variable’s contribution to HDI. The Preference SelectionIndex (PSI) is utilized to establish a performance-based ranking of countriesgrounded in the selected indicators. Results demonstrate that population growthand government effectiveness have significant impacts on HDI outcomes, whilethe remaining variables exhibit no statistically significant effects. Comparativeanalysis using PSI reveals inconsistencies between development indicator valuesand actual HDI positions. South Korea shows the highest consistency betweenquantitative rankings and HDI classification. These findings offer practicalinsights for policy prioritization by identifying the most influential determinantsof human development in the region. The study emphasizes the importance oftailored development strategies and encourages future research to strengthenmodel robustness through control variable inclusion, sensitivity analysis, andnon-linear modeling approaches."
9,doc9,2025,"ZERO: Jurnal Sains, Matermatika, dan Terapan ",Ruin Probability Model for Disaster Insurance Companies: A Systematic Literature Review,"Rifki Saefullah, Riaman Riaman, Sukono Sukono",Bibliometric Analysis; Insurance; Natural Disaster; Probability of Ruin; Risk Theory; Systematic Literature Review (SLR).,"Ruin probability modelling is a crucial aspect for insurance companies that is very important and urgent to maintain the company's solvency. Ruin probability modelling helps identify insolvency risks, so companies can take timely preventive measures before it is too late. This research will present a systematic literature review (SLR) using a bibliometric analysis approach with the support of VOSviewer software, utilising the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) method. The data sources used in this study came from 3 databases, namely Scopus, ScienceDirect and Dimensions, which resulted in 9 articles relevant to the topic under study. The results identified research gaps that could be an opportunity for future exploration. This research is expected to provide academic and practical contributions in developing ruin risk mitigation strategies in disaster insurance companies facing natural disaster uncertainty."
10,doc10,2025,"ZERO: Jurnal Sains, Matermatika, dan Terapan ",Expert System Analysis of Divorce Case Handling in Islamic Law Using Breadth First Search Algorithm,"Dicky Apdilah, Harmayani Harmayani, Emiel Salim Siregar, Aris Siregar, Dian Ayu Andriani, Ali Ikhwan, Moustafa H Aly","Divorce, Courts of Religion, System of Experts, Breadth First Search","Divorce is a separation between spouses often triggered by domestic violence, adultery, mental illness, gambling, or polygamy. Many first-time divorce plaintiffs are unaware of the proper legal procedures and tend to rush through the process. To address this, an expert system was developed using the Breadth First Search (BFS) algorithm to provide a more structured and measurable approach to divorce filing. The system aims to simplify and clarify the divorce procedure. The development process followed Rapid Application Development (RAD), with data collected through observations, interviews, and literature review. Experimental results with a sample of 100 users showed that 85% reported increased confidence in making decisions, the time to obtain accurate information decreased by 40%, and understanding of the divorce procedure improved by 90%. The system achieved a 92% user satisfaction rate, demonstrating its effectiveness. The BFS algorithm proved to be efficient and reliable, with statistically significant improvements in user experience."
